order_id,customer_id,order_date,delivery_date
62,93,2021-07-30,2021-08-13
63,556,2021-02-11,2021-03-08
64,167,2021-01-24,2021-02-15
65,388,2021-06-26,2021-07-22
66,631,2021-08-14,2021-08-22
67,504,2021-05-22,2021-06-17
68,180,2021-02-12,2021-02-18
69,96,2021-03-08,2021-03-28
70,802,2021-05-15,2021-05-26
71,795,2021-02-14,2021-02-16
72,610,2021-03-13,2021-03-16
73,965,2021-07-24,2021-08-19
74,391,2021-02-23,2021-02-27
75,68,2021-08-24,2021-09-15
76,470,2021-06-18,2021-06-26
77,680,2021-04-19,2021-04-29
78,681,2021-05-13,2021-05-29
79,236,2021-03-16,2021-03-25
80,872,2021-04-26,2021-05-20
81,736,2021-06-13,2021-06-15
82,927,2021-02-02,2021-02-27
83,537,2021-06-25,2021-07-01
84,181,2021-08-26,2021-09-20
85,251,2021-03-10,2021-03-22
86,874,2021-08-05,2021-08-11
87,325,2021-06-20,2021-07-16
88,567,2021-07-19,2021-08-15
89,448,2021-10-22,2021-11-16
90,809,2021-06-13,2021-07-07
91,803,2021-09-02,2021-09-15
92,273,2021-01-12,2021-01-30
93,908,2021-10-22,2021-11-11
94,629,2021-03-08,2021-03-26
95,413,2021-01-25,2021-02-05
96,415,2021-06-20,2021-06-30
97,106,2021-03-29,2021-03-31
98,257,2021-04-29,2021-05-08
99,291,2021-09-13,2021-09-25
100,817,2021-03-30,2021-04-16
101,807,2021-01-31,2021-02-27
102,846,2021-05-07,2021-05-26
103,209,2021-06-16,2021-06-24
104,366,2021-06-05,2021-06-23
105,456,2021-06-25,2021-07-14
106,573,2021-03-09,2021-03-28
107,127,2021-01-11,2021-02-03
108,935,2021-03-07,2021-03-28
109,554,2021-04-06,2021-04-29
110,607,2021-09-02,2021-09-06
111,794,2021-03-30,2021-04-14
112,75,2021-02-04,2021-02-17
113,565,2021-03-19,2021-04-08
114,160,2021-08-08,2021-09-02
115,492,2021-04-11,2021-04-22
116,510,2021-04-25,2021-05-20
117,971,2021-01-08,2021-01-23
118,639,2021-02-20,2021-02-22
119,545,2021-04-29,2021-05-06
120,585,2021-06-09,2021-06-14
121,549,2021-04-21,2021-04-23
122,732,2021-04-13,2021-05-04
123,471,2021-03-04,2021-03-22
124,776,2021-07-06,2021-07-15
125,321,2021-10-22,2021-11-03
126,326,2021-01-31,2021-02-20
127,51,2021-04-01,2021-04-11
128,936,2021-10-13,2021-11-09
129,428,2021-05-24,2021-05-27
130,439,2021-06-20,2021-07-15
131,629,2021-09-20,2021-09-24
132,562,2021-04-17,2021-05-01
133,878,2021-07-07,2021-07-17
134,12,2021-06-19,2021-07-01
135,942,2021-05-15,2021-06-02
136,539,2021-09-06,2021-09-08
137,298,2021-10-18,2021-10-20
138,331,2021-02-05,2021-02-10
139,871,2021-06-15,2021-06-28
140,539,2021-04-08,2021-04-13
141,528,2021-08-26,2021-09-13
142,237,2021-06-15,2021-07-12
143,828,2021-02-08,2021-02-11
144,928,2021-05-22,2021-05-28
145,871,2021-02-02,2021-02-10
146,912,2021-08-30,2021-09-26
147,818,2021-09-28,2021-10-16
148,573,2021-01-14,2021-01-24
149,500,2021-03-03,2021-03-14
150,462,2021-06-22,2021-06-27
151,357,2021-08-08,2021-09-01
152,320,2021-03-09,2021-03-12
153,727,2021-10-21,2021-11-17
154,674,2021-10-17,2021-11-07
155,834,2021-06-30,2021-07-18
156,727,2021-07-10,2021-07-29
157,909,2021-04-07,2021-04-17
158,828,2021-07-13,2021-08-04
159,208,2021-09-05,2021-09-13
160,725,2021-07-31,2021-08-06
161,566,2021-03-22,2021-04-11
162,431,2021-04-25,2021-05-05
163,84,2021-06-12,2021-06-17
164,412,2021-05-21,2021-06-03
165,389,2021-06-23,2021-07-20
166,113,2021-07-11,2021-07-14
167,595,2021-06-26,2021-07-18
168,664,2021-01-10,2021-01-27
169,996,2021-03-09,2021-03-12
170,867,2021-08-17,2021-09-03
171,443,2021-09-14,2021-09-16
172,224,2021-01-05,2021-01-27
173,435,2021-06-06,2021-07-01
174,497,2021-02-22,2021-03-17
175,309,2021-03-22,2021-04-16
176,574,2021-09-26,2021-10-04
177,315,2021-08-20,2021-09-01
178,236,2021-02-02,2021-02-08
179,161,2021-06-10,2021-06-27
180,469,2021-05-29,2021-06-22
181,241,2021-01-29,2021-02-13
182,461,2021-02-22,2021-03-04
183,715,2021-10-06,2021-10-12
184,240,2021-09-15,2021-09-29
185,945,2021-04-06,2021-04-20
186,833,2021-09-26,2021-10-14
187,401,2021-01-10,2021-01-19
188,571,2021-04-10,2021-04-22
189,586,2021-07-17,2021-08-08
190,421,2021-02-01,2021-02-17
191,18,2021-01-22,2021-02-15
192,842,2021-02-06,2021-02-19
193,846,2021-06-06,2021-06-07
194,415,2021-10-23,2021-11-03
195,92,2021-04-13,2021-04-17
196,630,2021-10-22,2021-11-16
197,110,2021-04-30,2021-05-01
198,640,2021-08-31,2021-09-13
199,206,2021-05-17,2021-05-18
200,15,2021-08-24,2021-09-07
201,325,2021-05-26,2021-06-18
202,129,2021-04-15,2021-04-22
203,369,2021-06-21,2021-07-11
204,568,2021-09-30,2021-10-10
205,267,2021-02-03,2021-02-04
206,654,2021-06-01,2021-06-16
207,644,2021-09-25,2021-09-28
208,28,2021-10-10,2021-10-15
209,292,2021-05-08,2021-05-20
210,723,2021-07-22,2021-08-18
211,515,2021-05-09,2021-05-17
212,62,2021-10-14,2021-11-08
213,678,2021-09-14,2021-09-27
214,288,2021-06-20,2021-07-09
215,526,2021-08-10,2021-08-20
216,865,2021-04-16,2021-05-04
217,234,2021-07-18,2021-07-31
218,606,2021-07-12,2021-07-20
219,667,2021-01-05,2021-01-10
220,555,2021-10-10,2021-10-25
221,473,2021-08-03,2021-08-17
222,368,2021-09-08,2021-10-05
223,657,2021-03-23,2021-03-30
224,628,2021-07-07,2021-08-02
225,664,2021-10-04,2021-10-26
226,28,2021-07-09,2021-07-23
227,406,2021-10-23,2021-11-19
228,773,2021-01-06,2021-01-17
229,107,2021-10-08,2021-10-20
230,497,2021-08-31,2021-09-18
231,731,2021-03-20,2021-04-09
232,256,2021-05-02,2021-05-16
233,996,2021-09-03,2021-09-19
234,133,2021-09-18,2021-10-10
235,767,2021-09-28,2021-10-12
236,228,2021-07-15,2021-08-08
237,829,2021-03-16,2021-04-06
238,328,2021-03-17,2021-03-27
239,530,2021-10-13,2021-11-02
240,578,2021-01-27,2021-02-01
241,401,2021-07-22,2021-08-17
242,909,2021-08-25,2021-09-13
243,263,2021-07-06,2021-07-11
244,637,2021-09-02,2021-09-09
245,191,2021-05-06,2021-05-10
246,641,2021-06-19,2021-07-16
247,68,2021-10-19,2021-11-12
248,457,2021-01-15,2021-01-20
249,86,2021-05-13,2021-05-26
250,518,2021-03-26,2021-04-03
251,433,2021-07-31,2021-08-27
252,683,2021-01-11,2021-02-05
253,179,2021-09-10,2021-10-02
254,571,2021-08-07,2021-09-03
255,605,2021-09-26,2021-10-15
256,313,2021-08-09,2021-08-12
257,914,2021-02-12,2021-03-02
258,742,2021-10-21,2021-11-13
259,878,2021-08-16,2021-09-07
260,317,2021-07-13,2021-07-25
261,250,2021-02-06,2021-03-01
262,812,2021-05-22,2021-05-24
263,372,2021-06-19,2021-07-08
264,636,2021-06-13,2021-06-18
265,189,2021-07-04,2021-07-29
266,623,2021-03-10,2021-03-20
267,34,2021-09-11,2021-09-12
268,530,2021-03-16,2021-04-10
269,89,2021-02-05,2021-02-22
270,711,2021-03-02,2021-03-27
271,469,2021-06-07,2021-06-09
272,92,2021-01-20,2021-01-31
273,828,2021-10-07,2021-11-03
274,19,2021-04-13,2021-04-27
275,329,2021-01-05,2021-01-15
276,775,2021-06-20,2021-06-24
277,659,2021-04-05,2021-04-06
278,510,2021-01-30,2021-02-13
279,620,2021-07-25,2021-07-28
280,551,2021-01-07,2021-01-08
281,489,2021-07-03,2021-07-15
282,423,2021-03-30,2021-04-18
283,303,2021-09-04,2021-09-15
284,522,2021-04-29,2021-05-16
285,882,2021-09-25,2021-10-20
286,998,2021-01-05,2021-01-08
287,799,2021-09-09,2021-10-03
288,201,2021-10-13,2021-10-16
289,977,2021-01-26,2021-02-16
290,364,2021-08-01,2021-08-16
291,112,2021-01-12,2021-02-05
292,337,2021-03-26,2021-04-04
293,426,2021-08-05,2021-08-13
294,499,2021-08-28,2021-09-15
295,412,2021-03-05,2021-03-19
296,207,2021-10-22,2021-10-25
297,256,2021-06-15,2021-06-27
298,58,2021-09-11,2021-09-20
299,994,2021-01-12,2021-02-03
300,912,2021-09-30,2021-10-25
301,535,2021-06-21,2021-06-25
302,156,2021-06-19,2021-07-07
303,758,2021-09-02,2021-09-11
304,537,2021-04-10,2021-05-03
305,234,2021-07-09,2021-07-26
306,747,2021-10-16,2021-10-19
307,679,2021-10-11,2021-10-28
308,549,2021-02-13,2021-03-08
309,390,2021-01-07,2021-01-25
310,348,2021-04-25,2021-05-15
311,807,2021-03-07,2021-03-25
312,683,2021-07-06,2021-07-31
313,266,2021-06-02,2021-06-11
314,95,2021-08-14,2021-08-17
315,239,2021-04-05,2021-04-25
316,179,2021-09-12,2021-09-20
317,876,2021-04-23,2021-04-26
318,433,2021-01-31,2021-02-17
319,933,2021-08-22,2021-09-16
320,41,2021-08-22,2021-09-12
321,833,2021-08-26,2021-08-31
322,686,2021-08-17,2021-09-12
323,852,2021-03-23,2021-04-13
324,99,2021-07-05,2021-07-16
325,318,2021-05-11,2021-05-28
326,199,2021-06-22,2021-07-01
327,710,2021-07-28,2021-07-31
328,246,2021-04-14,2021-05-08
329,820,2021-04-30,2021-05-24
330,887,2021-03-12,2021-04-08
331,414,2021-03-18,2021-03-23
332,466,2021-03-13,2021-03-14
333,367,2021-10-18,2021-11-09
334,539,2021-05-12,2021-05-23
335,485,2021-09-30,2021-10-24
336,615,2021-05-25,2021-05-28
337,341,2021-08-02,2021-08-04
338,630,2021-01-26,2021-02-13
339,409,2021-04-06,2021-04-13
340,841,2021-07-17,2021-08-13
341,602,2021-02-07,2021-02-09
342,348,2021-08-24,2021-09-08
343,673,2021-09-17,2021-10-06
344,526,2021-08-16,2021-09-06
345,711,2021-02-14,2021-03-05
346,739,2021-03-23,2021-04-06
347,209,2021-05-29,2021-06-14
348,732,2021-10-07,2021-10-28
349,847,2021-04-13,2021-04-29
350,869,2021-02-14,2021-03-02
351,478,2021-05-02,2021-05-04
352,52,2021-10-08,2021-10-10
353,774,2021-03-30,2021-04-05
354,18,2021-02-26,2021-03-08
355,46,2021-04-14,2021-04-24
356,236,2021-04-01,2021-04-15
357,70,2021-02-08,2021-02-13
358,796,2021-04-07,2021-04-12
359,661,2021-05-16,2021-05-31
360,870,2021-08-03,2021-08-08
361,988,2021-02-06,2021-02-25
362,96,2021-09-30,2021-10-07
363,882,2021-01-25,2021-02-21
364,925,2021-03-13,2021-04-03
365,485,2021-04-14,2021-04-25
366,334,2021-07-15,2021-07-30
367,181,2021-02-20,2021-03-19
368,556,2021-09-02,2021-09-21
369,729,2021-03-26,2021-04-18
370,986,2021-01-22,2021-02-11
371,727,2021-08-29,2021-09-15
372,991,2021-03-14,2021-03-19
373,581,2021-03-13,2021-04-03
374,981,2021-06-05,2021-06-20
375,655,2021-01-20,2021-01-26
376,571,2021-07-04,2021-07-17
377,21,2021-05-19,2021-05-28
378,623,2021-09-29,2021-10-25
379,467,2021-02-13,2021-02-15
380,75,2021-03-22,2021-03-28
381,258,2021-04-11,2021-05-03
382,791,2021-05-04,2021-05-15
383,469,2021-09-08,2021-09-14
384,709,2021-05-27,2021-06-22
385,146,2021-08-08,2021-08-24
386,458,2021-02-14,2021-03-03
387,341,2021-06-11,2021-06-14
388,601,2021-02-12,2021-02-17
389,643,2021-04-20,2021-04-23
390,206,2021-01-20,2021-01-24
391,726,2021-05-16,2021-06-06
392,840,2021-01-12,2021-01-25
393,803,2021-05-06,2021-05-27
394,508,2021-09-06,2021-09-10
395,728,2021-03-26,2021-04-02
396,461,2021-02-26,2021-03-03
397,446,2021-02-03,2021-02-22
398,13,2021-09-28,2021-10-13
399,331,2021-10-21,2021-10-30
400,907,2021-07-02,2021-07-25
401,94,2021-08-14,2021-08-24
402,537,2021-03-09,2021-04-04
403,980,2021-09-16,2021-09-25
404,998,2021-03-03,2021-03-09
405,493,2021-08-09,2021-08-12
406,892,2021-07-25,2021-08-18
407,835,2021-01-09,2021-01-20
408,404,2021-01-30,2021-02-15
409,206,2021-05-03,2021-05-11
410,47,2021-08-04,2021-08-09
411,771,2021-03-17,2021-04-08
412,427,2021-09-23,2021-10-13
413,589,2021-10-17,2021-10-31
414,212,2021-01-02,2021-01-03
415,947,2021-07-14,2021-07-19
416,129,2021-10-08,2021-10-25
417,729,2021-09-14,2021-10-11
418,918,2021-08-24,2021-09-15
419,745,2021-10-20,2021-11-10
420,482,2021-02-22,2021-03-19
421,691,2021-09-28,2021-10-09
422,375,2021-03-16,2021-03-26
423,507,2021-06-12,2021-06-21
424,551,2021-03-13,2021-03-18
425,606,2021-02-21,2021-03-17
426,776,2021-09-26,2021-10-16
427,282,2021-01-27,2021-02-10
428,431,2021-02-24,2021-03-23
429,754,2021-02-08,2021-02-22
430,155,2021-02-08,2021-03-01
431,325,2021-04-25,2021-05-09
432,20,2021-10-20,2021-11-03
433,419,2021-08-18,2021-09-02
434,940,2021-05-11,2021-06-01
435,886,2021-02-17,2021-02-22
436,739,2021-08-17,2021-09-10
437,269,2021-08-25,2021-09-05
438,989,2021-05-22,2021-05-31
439,286,2021-08-24,2021-09-06
440,553,2021-10-09,2021-10-30
441,726,2021-02-28,2021-03-02
442,693,2021-03-24,2021-03-30
443,966,2021-03-09,2021-03-27
444,383,2021-03-07,2021-03-26
445,893,2021-07-07,2021-07-27
446,283,2021-03-26,2021-03-30
447,100,2021-01-10,2021-01-23
448,185,2021-08-20,2021-08-31
449,163,2021-10-23,2021-11-09
450,648,2021-04-30,2021-05-05
451,566,2021-08-25,2021-09-06
452,123,2021-10-09,2021-10-22
453,371,2021-08-13,2021-08-22
454,441,2021-03-29,2021-04-12
455,1,2021-04-04,2021-04-06
456,450,2021-06-28,2021-07-20
457,490,2021-03-04,2021-03-12
458,757,2021-10-21,2021-11-10
459,853,2021-06-18,2021-07-06
460,250,2021-06-07,2021-06-17
461,244,2021-02-14,2021-02-19
462,769,2021-01-31,2021-02-20
463,641,2021-03-16,2021-04-09
464,103,2021-06-29,2021-07-25
465,7,2021-05-21,2021-05-23
466,628,2021-06-10,2021-07-05
467,102,2021-02-24,2021-03-10
468,238,2021-04-15,2021-04-17
469,907,2021-04-27,2021-05-04
470,810,2021-09-11,2021-10-04
471,282,2021-07-08,2021-07-10
472,85,2021-07-15,2021-07-29
473,61,2021-05-19,2021-06-12
474,571,2021-08-19,2021-09-09
475,696,2021-05-27,2021-06-01
476,757,2021-10-07,2021-11-02
477,97,2021-06-20,2021-06-26
478,452,2021-10-15,2021-10-23
479,51,2021-06-27,2021-07-16
480,180,2021-07-15,2021-08-05
481,227,2021-08-20,2021-09-12
482,111,2021-08-03,2021-08-09
483,742,2021-03-15,2021-03-20
484,926,2021-05-05,2021-05-31
485,969,2021-01-08,2021-01-28
486,643,2021-04-27,2021-05-08
487,926,2021-01-09,2021-02-05
488,638,2021-10-01,2021-10-26
489,77,2021-08-30,2021-09-21
490,816,2021-09-15,2021-09-29
491,783,2021-02-24,2021-03-18
492,568,2021-07-24,2021-08-07
493,895,2021-04-24,2021-05-03
494,740,2021-07-31,2021-08-15
495,352,2021-08-10,2021-08-19
496,574,2021-06-17,2021-06-27
497,900,2021-07-07,2021-07-09
498,647,2021-07-15,2021-07-23
499,690,2021-10-24,2021-10-26
500,571,2021-01-15,2021-01-24
501,706,2021-02-16,2021-02-25
502,485,2021-02-18,2021-03-07
503,937,2021-08-19,2021-09-05
504,192,2021-01-13,2021-02-08
505,737,2021-08-17,2021-08-27
506,648,2021-09-11,2021-09-27
507,58,2021-06-20,2021-07-11
508,834,2021-07-17,2021-08-01
509,676,2021-01-02,2021-01-25
510,125,2021-09-29,2021-10-01
511,282,2021-08-22,2021-09-12
512,223,2021-10-13,2021-11-05
513,950,2021-05-24,2021-06-04
514,740,2021-07-12,2021-07-22
515,23,2021-05-23,2021-06-13
516,506,2021-05-21,2021-05-26
517,797,2021-06-23,2021-06-30
518,196,2021-06-03,2021-06-18
519,244,2021-08-23,2021-09-12
520,679,2021-02-04,2021-03-01
521,382,2021-03-17,2021-03-31
522,761,2021-03-19,2021-04-05
523,516,2021-04-25,2021-05-18
524,60,2021-07-21,2021-08-01
525,986,2021-09-25,2021-10-20
526,55,2021-05-16,2021-05-22
527,79,2021-09-13,2021-10-09
528,343,2021-09-16,2021-10-07
529,767,2021-01-10,2021-01-19
530,467,2021-01-07,2021-01-23
531,742,2021-01-14,2021-02-08
532,523,2021-09-08,2021-09-20
533,558,2021-06-04,2021-06-09
534,49,2021-09-23,2021-09-26
535,585,2021-01-25,2021-02-07
536,927,2021-02-05,2021-02-21
537,203,2021-02-14,2021-03-13
538,754,2021-01-04,2021-01-26
539,609,2021-01-03,2021-01-25
540,772,2021-03-21,2021-03-30
541,490,2021-08-20,2021-08-22
542,282,2021-02-10,2021-02-14
543,769,2021-07-28,2021-08-09
544,347,2021-03-05,2021-03-14
545,439,2021-06-21,2021-07-02
546,664,2021-04-29,2021-05-19
547,163,2021-10-19,2021-10-30
548,135,2021-07-17,2021-07-26
549,401,2021-06-02,2021-06-09
550,26,2021-08-04,2021-08-09
551,330,2021-09-16,2021-09-18
552,264,2021-01-10,2021-01-17
553,49,2021-03-06,2021-03-14
554,842,2021-05-07,2021-05-26
555,922,2021-09-03,2021-09-09
556,566,2021-07-30,2021-08-01
557,504,2021-04-19,2021-04-24
558,729,2021-03-02,2021-03-18
559,611,2021-03-03,2021-03-15
560,11,2021-05-28,2021-06-05
561,764,2021-02-15,2021-03-13
562,632,2021-09-19,2021-10-03
563,611,2021-07-04,2021-07-16
564,583,2021-08-23,2021-09-19
565,442,2021-02-25,2021-03-15
566,614,2021-07-24,2021-08-10
567,104,2021-06-21,2021-06-23
568,783,2021-01-09,2021-01-22
569,757,2021-03-16,2021-04-06
570,81,2021-03-09,2021-03-14
571,472,2021-02-02,2021-02-10
572,479,2021-01-01,2021-01-06
573,736,2021-01-02,2021-01-09
574,434,2021-06-21,2021-07-03
575,54,2021-08-14,2021-08-16
576,218,2021-04-26,2021-05-05
577,840,2021-02-20,2021-03-12
578,926,2021-05-09,2021-05-12
579,501,2021-03-28,2021-04-20
580,171,2021-04-30,2021-05-09
581,708,2021-05-09,2021-05-29
582,783,2021-09-03,2021-09-18
583,290,2021-04-07,2021-04-10
584,142,2021-06-29,2021-07-01
585,844,2021-03-20,2021-03-23
586,998,2021-02-27,2021-03-22
587,402,2021-09-08,2021-09-11
588,612,2021-05-26,2021-06-20
589,692,2021-06-25,2021-07-20
590,898,2021-07-06,2021-07-15
591,588,2021-06-18,2021-07-06
592,973,2021-06-29,2021-07-07
593,515,2021-02-21,2021-03-11
594,711,2021-06-14,2021-06-23
595,10,2021-03-09,2021-03-29
596,693,2021-06-13,2021-06-27
597,107,2021-08-04,2021-08-16
598,638,2021-06-20,2021-07-05
599,308,2021-09-23,2021-10-17
600,921,2021-09-15,2021-09-16
601,916,2021-06-13,2021-06-28
602,987,2021-02-14,2021-03-07
603,549,2021-08-30,2021-09-04
604,492,2021-07-20,2021-08-13
605,402,2021-08-20,2021-09-06
606,692,2021-01-31,2021-02-08
607,648,2021-10-19,2021-11-12
608,530,2021-08-13,2021-08-15
609,25,2021-04-22,2021-05-08
610,735,2021-08-04,2021-08-31
611,155,2021-05-01,2021-05-25
612,486,2021-05-10,2021-05-12
613,682,2021-05-23,2021-06-07
614,732,2021-04-18,2021-05-03
615,690,2021-01-31,2021-02-10
616,21,2021-05-13,2021-05-14
617,371,2021-08-30,2021-09-07
618,882,2021-08-01,2021-08-26
619,225,2021-02-25,2021-03-04
620,614,2021-07-19,2021-08-01
621,102,2021-07-16,2021-08-07
622,587,2021-05-16,2021-06-07
623,808,2021-10-20,2021-10-30
624,398,2021-03-19,2021-04-08
625,233,2021-07-17,2021-07-28
626,348,2021-09-30,2021-10-17
627,680,2021-04-03,2021-04-08
628,534,2021-09-08,2021-09-28
629,904,2021-08-07,2021-08-20
630,644,2021-01-12,2021-01-31
631,460,2021-04-14,2021-05-08
632,952,2021-04-11,2021-04-17
633,183,2021-07-02,2021-07-13
634,327,2021-10-13,2021-10-23
635,50,2021-07-15,2021-08-05
636,793,2021-04-02,2021-04-07
637,886,2021-08-06,2021-08-18
638,548,2021-10-03,2021-10-17
639,906,2021-03-30,2021-04-22
640,873,2021-01-23,2021-01-26
641,20,2021-03-10,2021-03-22
642,835,2021-01-11,2021-01-26
643,778,2021-05-18,2021-05-24
644,207,2021-03-13,2021-03-22
645,794,2021-08-19,2021-09-13
646,369,2021-05-08,2021-05-28
647,439,2021-02-06,2021-02-11
648,522,2021-07-16,2021-07-19
649,840,2021-07-28,2021-08-16
650,739,2021-01-02,2021-01-15
651,581,2021-05-22,2021-05-25
652,691,2021-03-09,2021-03-27
653,629,2021-02-19,2021-03-18
654,417,2021-08-18,2021-08-30
655,333,2021-05-25,2021-06-06
656,907,2021-03-22,2021-03-23
657,479,2021-07-22,2021-07-28
658,201,2021-05-23,2021-06-05
659,328,2021-09-30,2021-10-15
660,787,2021-08-16,2021-08-25
661,427,2021-09-14,2021-09-17
662,924,2021-09-19,2021-09-29
663,836,2021-04-09,2021-04-10
664,21,2021-01-07,2021-01-20
665,176,2021-03-10,2021-03-26
666,456,2021-08-25,2021-09-11
667,737,2021-03-23,2021-03-28
668,22,2021-03-15,2021-03-30
669,247,2021-06-18,2021-07-02
670,1,2021-03-06,2021-04-01
671,156,2021-06-22,2021-07-08
672,677,2021-02-12,2021-02-25
673,326,2021-02-05,2021-02-19
674,300,2021-01-29,2021-02-05
675,896,2021-06-05,2021-06-13
676,889,2021-09-24,2021-10-11
677,267,2021-07-05,2021-07-08
678,711,2021-04-28,2021-05-14
679,308,2021-03-05,2021-03-22
680,800,2021-05-04,2021-05-22
681,463,2021-10-10,2021-10-19
682,454,2021-02-28,2021-03-18
683,276,2021-01-01,2021-01-05
684,956,2021-10-12,2021-10-17
685,851,2021-08-06,2021-08-21
686,799,2021-06-14,2021-06-15
687,341,2021-03-30,2021-04-12
688,574,2021-03-08,2021-03-29
689,884,2021-10-03,2021-10-28
690,941,2021-10-05,2021-10-26
691,78,2021-04-03,2021-04-19
692,697,2021-06-18,2021-07-05
693,714,2021-04-29,2021-05-16
694,634,2021-04-17,2021-05-11
695,92,2021-07-01,2021-07-20
696,230,2021-09-01,2021-09-27
697,830,2021-07-20,2021-07-28
698,821,2021-05-19,2021-06-13
699,311,2021-01-29,2021-02-12
700,788,2021-07-01,2021-07-26
701,659,2021-08-28,2021-09-10
702,310,2021-06-23,2021-07-14
703,327,2021-02-07,2021-02-28
704,260,2021-07-21,2021-07-27
705,107,2021-01-14,2021-01-25
706,844,2021-07-20,2021-07-21
707,589,2021-05-12,2021-05-18
708,687,2021-10-24,2021-11-10
709,772,2021-06-17,2021-07-13
710,134,2021-02-07,2021-02-08
711,228,2021-06-22,2021-07-08
712,474,2021-08-18,2021-08-29
713,241,2021-07-14,2021-08-09
714,50,2021-02-07,2021-02-19
715,225,2021-10-19,2021-11-12
716,502,2021-07-31,2021-08-26
717,696,2021-03-11,2021-04-05
718,665,2021-05-13,2021-05-20
719,387,2021-09-19,2021-09-24
720,465,2021-03-12,2021-03-23
721,755,2021-08-28,2021-09-04
722,401,2021-10-24,2021-11-20
723,135,2021-10-03,2021-10-16
724,394,2021-03-04,2021-03-28
725,674,2021-09-26,2021-10-05
726,447,2021-09-15,2021-10-05
727,852,2021-05-01,2021-05-18
728,526,2021-08-29,2021-08-30
729,1,2021-02-18,2021-03-01
730,88,2021-06-20,2021-07-10
731,214,2021-06-21,2021-07-02
732,40,2021-05-09,2021-05-29
733,387,2021-05-26,2021-06-22
734,623,2021-01-25,2021-01-31
735,754,2021-10-03,2021-10-16
736,793,2021-04-10,2021-05-03
737,453,2021-05-26,2021-05-30
738,144,2021-07-16,2021-08-09
739,211,2021-09-14,2021-09-23
740,178,2021-02-05,2021-02-10
741,710,2021-02-03,2021-02-17
742,750,2021-10-21,2021-11-01
743,909,2021-03-25,2021-03-27
744,107,2021-01-25,2021-02-14
745,643,2021-03-21,2021-04-01
746,445,2021-06-19,2021-06-27
747,299,2021-05-11,2021-05-28
748,27,2021-05-16,2021-06-06
749,693,2021-09-20,2021-09-24
750,758,2021-02-19,2021-03-01
751,254,2021-06-20,2021-07-06
752,535,2021-10-08,2021-10-12
753,40,2021-02-20,2021-02-28
754,778,2021-06-30,2021-07-23
755,123,2021-04-11,2021-05-06
756,318,2021-03-19,2021-03-29
757,632,2021-06-03,2021-06-15
758,781,2021-03-27,2021-04-21
759,857,2021-06-06,2021-07-03
760,207,2021-07-09,2021-07-11
761,198,2021-10-03,2021-10-25
762,83,2021-08-13,2021-08-20
763,974,2021-03-18,2021-04-05
764,955,2021-09-16,2021-10-04
765,660,2021-01-15,2021-02-01
766,929,2021-08-06,2021-08-15
767,169,2021-04-28,2021-04-30
768,558,2021-09-29,2021-10-16
769,422,2021-09-10,2021-10-04
770,868,2021-02-06,2021-02-28
771,970,2021-06-06,2021-06-18
772,573,2021-06-07,2021-06-27
773,998,2021-07-19,2021-08-07
774,416,2021-06-23,2021-07-13
775,348,2021-06-11,2021-07-05
